事件ID,用户ID,事件时间,事件名称,渠道,设备,页面路径,会话ID,会话时长秒,收入
EV-00001,U-0001,2025-06-01 08:00:00,开始结账,社交媒体,Android,/home,SE-0001,35,0
EV-00002,U-0002,2025-06-01 09:07:00,搜索,邮件,Windows,/search,SE-0001,48,0
EV-00003,U-0003,2025-06-01 10:14:00,查看商品,推荐链接,macOS,/product/1001,SE-0001,61,0
EV-00004,U-0004,2025-06-01 11:21:00,加入购物车,直接访问,iPadOS,/product/2033,SE-0001,74,0
EV-00005,U-0005,2025-06-01 12:28:00,开始结账,自然流量,iOS,/cart,SE-0002,87,0
EV-00006,U-0006,2025-06-02 13:35:00,购买,搜索广告,Android,/checkout,SE-0002,100,284
EV-00007,U-0007,2025-06-02 14:42:00,登录,社交媒体,Windows,/profile,SE-0002,113,0
EV-00008,U-0008,2025-06-02 15:49:00,退出,邮件,macOS,/home,SE-0002,126,0
EV-00009,U-0009,2025-06-02 16:56:00,浏览页面,推荐链接,iPadOS,/search,SE-0003,139,0
EV-00010,U-0010,2025-06-02 17:03:00,购买,直接访问,iOS,/product/1001,SE-0003,152,432
EV-00011,U-0011,2025-06-03 18:10:00,查看商品,自然流量,Android,/product/2033,SE-0003,165,0
EV-00012,,2025-06-03 19:17:00,加入购物车,搜索广告,Windows,/cart,SE-0003,178,0
EV-00013,U-0013,2025-06-03 08:24:00,开始结账,社交媒体,macOS,/checkout,SE-0004,191,0
EV-00014,U-0014,2025-06-03 09:31:00,购买,邮件,iPadOS,/profile,SE-0004,204,580
EV-00015,U-0015,2025-06-03 10:38:00,登录,推荐链接,iOS,/home,SE-0004,217,0
EV-00016,U-0016,2025-06-04 11:45:00,退出,直接访问,Android,/search,SE-0004,230,0
EV-00017,U-0017,2025-06-04 12:52:00,浏览页面,自然流量,Windows,/product/1001,SE-0005,243,0
EV-00018,U-0018,2025-06-04 13:59:00,搜索,搜索广告,macOS,/product/2033,SE-0005,256,0
EV-00019,U-0019,2025-06-04 14:06:00,登录,社交媒体,iPadOS,/cart,SE-0005,269,0
EV-00020,U-0020,2025-06-04 15:13:00,加入购物车,邮件,iOS,/checkout,SE-0005,282,0
EV-00021,U-0021,2025-06-05 16:20:00,开始结账,推荐链接,Android,/profile,SE-0006,295,0
EV-00022,U-0022,2025-06-05 17:27:00,购买,直接访问,Windows,/home,SE-0006,308,876
EV-00023,U-0023,2025-06-05 18:34:00,登录,自然流量,macOS,/search,SE-0006,321,0
EV-00024,U-0024,2025-06-05 19:41:00,退出,搜索广告,iPadOS,/product/1001,SE-0006,334,0
EV-00025,U-0025,2025-06-05 08:48:00,浏览页面,社交媒体,iOS,/product/2033,SE-0007,347,0
EV-00026,U-0026,2025-06-06 09:55:00,搜索,邮件,Android,/cart,SE-0007,360,0
EV-00027,U-0027,2025-06-06 10:02:00,查看商品,推荐链接,Windows,/checkout,SE-0007,373,0
EV-00028,U-0028,2025-06-06 11:09:00,退出,直接访问,macOS,/profile,SE-0007,386,0
EV-00029,U-0029,2025-06-06 12:16:00,开始结账,自然流量,iPadOS,/home,SE-0008,399,0
EV-00030,U-0030,2025-06-06 13:23:00,购买,,iOS,/search,SE-0008,412,272
EV-00031,U-0031,2025-06-07 14:30:00,登录,社交媒体,Android,/product/1001,SE-0008,425,0
EV-00032,U-0032,2025-06-07 15:37:00,退出,邮件,Windows,/product/2033,SE-0008,438,0
EV-00033,U-0033,2025-06-07 16:44:00,浏览页面,推荐链接,macOS,/cart,SE-0009,451,0
EV-00034,U-0034,2025-06-07 17:51:00,搜索,直接访问,iPadOS,/checkout,SE-0009,464,0
EV-00035,U-0035,2025-06-07 18:58:00,查看商品,自然流量,iOS,/profile,SE-0009,477,0
EV-00036,U-0036,2025-06-08 19:05:00,加入购物车,搜索广告,Android,/home,SE-0009,490,0
EV-00037,U-0037,2025-06-08 08:12:00,浏览页面,社交媒体,Windows,/search,SE-0010,503,0
EV-00038,U-0038,2025-06-08 09:19:00,购买,邮件,macOS,/product/1001,SE-0010,516,568
EV-00039,U-0039,2025-06-08 10:26:00,登录,推荐链接,iPadOS,/product/2033,SE-0010,529,0
EV-00040,U-0040,2025-06-08 11:33:00,退出,直接访问,iOS,/cart,SE-0010,542,0
EV-00041,U-0041,2025-06-09 12:40:00,浏览页面,自然流量,Android,/checkout,SE-0011,35,0
EV-00042,U-0042,2025-06-09 13:47:00,搜索,搜索广告,Windows,/profile,SE-0011,48,0
EV-00043,U-0043,2025-06-09 14:54:00,查看商品,社交媒体,macOS,/home,SE-0011,61,0
EV-00044,U-0044,2025-06-09 15:01:00,加入购物车,邮件,iPadOS,/search,SE-0011,74,0
EV-00045,U-0045,2025-06-09 16:08:00,开始结账,推荐链接,iOS,/product/1001,SE-0012,87,0
EV-00046,U-0046,2025-06-10 17:15:00,搜索,直接访问,Android,/product/2033,SE-0012,100,0
EV-00047,U-0001,2025-06-10 18:22:00,登录,自然流量,Windows,/cart,SE-0012,113,0
EV-00048,U-0002,2025-06-10 19:29:00,退出,搜索广告,macOS,/checkout,SE-0012,126,0
EV-00049,U-0003,2025-06-10 08:36:00,浏览页面,社交媒体,iPadOS,/profile,SE-0013,139,0
EV-00050,U-0004,2025-06-10 09:43:00,搜索,邮件,iOS,/home,SE-0013,152,0
EV-00051,U-0005,2025-06-11 10:50:00,查看商品,推荐链接,Android,/search,SE-0013,165,0
EV-00052,U-0006,2025-06-11 11:57:00,加入购物车,直接访问,Windows,/product/1001,SE-0013,178,0
EV-00053,U-0007,2025-06-11 12:04:00,开始结账,自然流量,macOS,/product/2033,SE-0014,191,0
EV-00054,U-0008,2025-06-11 13:11:00,购买,搜索广告,iPadOS,/cart,SE-0014,204,260
EV-00055,U-0009,,查看商品,社交媒体,iOS,/checkout,SE-0014,217,0
EV-00056,U-0010,2025-06-12 15:25:00,退出,邮件,Android,/profile,SE-0014,230,0
EV-00057,U-0011,2025-06-12 16:32:00,浏览页面,推荐链接,Windows,/home,SE-0015,243,0
EV-00058,U-0012,2025-06-12 17:39:00,搜索,直接访问,macOS,/search,SE-0015,256,0
EV-00059,U-0013,2025-06-12 18:46:00,查看商品,自然流量,iPadOS,/product/1001,SE-0015,269,0
EV-00060,U-0014,2025-06-12 19:53:00,加入购物车,搜索广告,iOS,/product/2033,SE-0015,282,0
EV-00061,U-0015,2025-06-13 08:00:00,开始结账,社交媒体,Android,/cart,SE-0016,295,0
EV-00062,U-0016,2025-06-13 09:07:00,购买,邮件,Windows,/checkout,SE-0016,308,556
EV-00063,U-0017,2025-06-13 10:14:00,登录,推荐链接,macOS,/profile,SE-0016,321,0
EV-00064,U-0018,2025-06-13 11:21:00,加入购物车,直接访问,iPadOS,/home,SE-0016,334,0
EV-00065,U-0019,2025-06-13 12:28:00,浏览页面,自然流量,iOS,/search,SE-0017,347,0
EV-00066,U-0020,2025-06-14 13:35:00,搜索,搜索广告,Android,/product/1001,SE-0017,360,0
EV-00067,U-0021,2025-06-14 14:42:00,查看商品,社交媒体,Windows,/product/2033,SE-0017,373,0
EV-00068,U-0022,2025-06-14 15:49:00,加入购物车,邮件,macOS,/cart,SE-0017,386,0
EV-00069,U-0023,2025-06-14 16:56:00,开始结账,推荐链接,iPadOS,/checkout,SE-0018,399,0
EV-00070,U-0024,2025-06-14 17:03:00,购买,直接访问,iOS,/profile,SE-0018,412,852
EV-00071,U-0025,2025-06-15 18:10:00,登录,自然流量,Android,/home,SE-0018,425,0
EV-00072,U-0026,2025-06-15 19:17:00,退出,搜索广告,Windows,/search,SE-0018,438,0
EV-00073,U-0027,2025-06-15 08:24:00,开始结账,社交媒体,macOS,/product/1001,SE-0019,451,0
EV-00074,U-0028,2025-06-15 09:31:00,搜索,邮件,iPadOS,/product/2033,SE-0019,464,0
EV-00075,U-0029,2025-06-15 10:38:00,查看商品,推荐链接,iOS,/cart,SE-0019,477,0
EV-00076,U-0030,2025-06-16 11:45:00,加入购物车,直接访问,Android,/checkout,SE-0019,490,0
EV-00077,U-0031,2025-06-16 12:52:00,开始结账,自然流量,Windows,/profile,SE-0020,503,0
EV-00078,U-0032,2025-06-16 13:59:00,购买,搜索广告,macOS,/home,SE-0020,516,248
EV-00079,U-0033,2025-06-16 14:06:00,登录,社交媒体,iPadOS,/search,SE-0020,529,0
EV-00080,U-0034,2025-06-16 15:13:00,退出,邮件,iOS,/product/1001,SE-0020,542,0
EV-00081,U-0035,2025-06-17 16:20:00,浏览页面,推荐链接,Android,/product/2033,SE-0021,35,0
EV-00082,U-0036,2025-06-17 17:27:00,购买,直接访问,Windows,/cart,SE-0021,48,396
EV-00083,U-0037,2025-06-17 18:34:00,查看商品,自然流量,macOS,/checkout,SE-0021,61,0
EV-00084,U-0038,2025-06-17 19:41:00,,搜索广告,iPadOS,/profile,SE-0021,74,0
EV-00085,U-0039,2025-06-17 08:48:00,开始结账,社交媒体,iOS,/home,SE-0022,87,0
EV-00086,U-0040,2025-06-18 09:55:00,购买,邮件,Android,/search,SE-0022,100,544
EV-00087,U-0041,2025-06-18 10:02:00,登录,推荐链接,Windows,/product/1001,SE-0022,113,0
EV-00088,U-0042,2025-06-18 11:09:00,退出,直接访问,macOS,/product/2033,SE-0022,126,0
EV-00089,U-0043,2025-06-18 12:16:00,浏览页面,自然流量,iPadOS,/cart,SE-0023,139,0
EV-00090,U-0044,2025-06-18 13:23:00,搜索,搜索广告,iOS,/checkout,SE-0023,152,0
EV-00091,U-0045,2025-06-19 14:30:00,登录,社交媒体,Android,/profile,SE-0023,165,0
EV-00092,U-0046,2025-06-19 15:37:00,加入购物车,邮件,Windows,/home,SE-0023,178,0
EV-00093,U-0001,2025-06-19 16:44:00,开始结账,推荐链接,macOS,/search,SE-0024,191,0
EV-00094,U-0002,2025-06-19 17:51:00,购买,直接访问,iPadOS,/product/1001,SE-0024,204,840
EV-00095,U-0003,2025-06-19 18:58:00,登录,自然流量,iOS,/product/2033,SE-0024,217,0
EV-00096,U-0004,2025-06-20 19:05:00,退出,搜索广告,Android,/cart,SE-0024,230,0
EV-00097,U-0005,2025-06-20 08:12:00,浏览页面,社交媒体,Windows,/checkout,SE-0025,243,0
EV-00098,U-0006,2025-06-20 09:19:00,搜索,邮件,macOS,/profile,SE-0025,256,0
EV-00099,U-0007,2025-06-20 10:26:00,查看商品,推荐链接,iPadOS,/home,SE-0025,269,0
EV-00100,U-0008,2025-06-20 11:33:00,退出,直接访问,iOS,/search,SE-0025,282,0
EV-00101,U-0009,2025-06-21 12:40:00,开始结账,自然流量,Android,/product/1001,SE-0026,99999,0
EV-00102,U-0010,2025-06-21 13:47:00,购买,搜索广告,Windows,/product/2033,SE-0026,308,50000
EV-00103,U-0011,2025-06-21 14:54:00,登录,社交媒体,macOS,/cart,SE-0026,-20,0
EV-00104,U-0012,2025-06-21 15:01:00,退出,邮件,iPadOS,/checkout,SE-0026,334,0
EV-00105,U-0013,2025-06-21 16:08:00,浏览页面,推荐链接,iOS,/profile,SE-0027,347,0
EV-00106,U-0014,2025-06-22 17:15:00,搜索,直接访问,Android,/home,SE-0027,360,0
EV-00107,U-0015,2025-06-22 18:22:00,查看商品,自然流量,Windows,/search,SE-0027,373,0
EV-00108,U-0016,2025-06-22 19:29:00,加入购物车,搜索广告,macOS,/product/1001,SE-0027,386,0
EV-00109,U-0017,2025-06-22 08:36:00,浏览页面,社交媒体,iPadOS,/product/2033,SE-0028,399,0
EV-00110,U-0018,2025-06-22 09:43:00,购买,邮件,iOS,/cart,SE-0028,412,532
EV-00111,U-0019,2025-06-23 10:50:00,登录,推荐链接,Android,/checkout,SE-0028,425,0
EV-00112,U-0020,2025-06-23 11:57:00,退出,直接访问,Windows,/profile,SE-0028,438,0
EV-00113,U-0021,2025-06-23 12:04:00,浏览页面,自然流量,macOS,/home,SE-0029,451,0
EV-00114,U-0022,2025-06-23 13:11:00,搜索,搜索广告,iPadOS,/search,SE-0029,464,0
EV-00115,U-0023,2025-06-23 14:18:00,查看商品,社交媒体,iOS,/product/1001,SE-0029,477,0
EV-00116,U-0024,2025-06-24 15:25:00,加入购物车,邮件,Android,/product/2033,SE-0029,490,0
EV-00117,U-0025,2025-06-24 16:32:00,开始结账,推荐链接,Windows,/cart,SE-0030,503,0
EV-00118,U-0026,2025-06-24 17:39:00,搜索,直接访问,macOS,/checkout,SE-0030,516,0
EV-00026,U-0026,2025-06-06 09:55:00,搜索,邮件,Android,/cart,SE-0007,360,0
EV-00065,U-0019,2025-06-13 12:28:00,浏览页面,自然流量,iOS,/search,SE-0017,347,0
